what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501241546419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501241546572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501241547357
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501241563431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501241571672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501241889749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501241990600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242010973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242222911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242225065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242765680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501242771343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501242772780
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501242877915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242914144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242915261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501242915899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243236693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501243241679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501243243282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243246252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243247778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243256608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243302007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501243308959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501243311579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243313276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501243314527
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1501243317599
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1501243317599
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1501243317652
error,log,,,"Core exception while retrieving the content description",1501243322292
error,log,,,"Core exception while retrieving the content description",1501243322308
error,log,,,"Core exception while retrieving the content description",1501243322308
error,log,,,"Core exception while retrieving the content description",1501243322308
error,log,,,"Core exception while retrieving the content description",1501243322323
error,log,,,"Core exception while retrieving the content description",1501243322339
error,log,,,"Core exception while retrieving the content description",1501243322339
