what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1500639874832
error,log,,,"Core exception while retrieving the content description",1500639874832
error,log,,,"Core exception while retrieving the content description",1500639874844
error,log,,,"Core exception while retrieving the content description",1500639874854
error,log,,,"Core exception while retrieving the content description",1500639874858
error,log,,,"Core exception while retrieving the content description",1500639874861
error,log,,,"Core exception while retrieving the content description",1500639874872
error,log,,,"Core exception while retrieving the content description",1500639874872
error,log,,,"Core exception while retrieving the content description",1500639874876
error,log,,,"Core exception while retrieving the content description",1500639874880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639877991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639878724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639878775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639880415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639898639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639907865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639910523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639911344
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500639913489
error,log,,,"Core exception while retrieving the content description",1500639914278
error,log,,,"Core exception while retrieving the content description",1500639914282
error,log,,,"Core exception while retrieving the content description",1500639914286
error,log,,,"Core exception while retrieving the content description",1500639914294
error,log,,,"Core exception while retrieving the content description",1500639914306
error,log,,,"Core exception while retrieving the content description",1500639914310
error,log,,,"Core exception while retrieving the content description",1500639914315
error,log,,,"Core exception while retrieving the content description",1500639914318
error,log,,,"Core exception while retrieving the content description",1500639914337
error,log,,,"Core exception while retrieving the content description",1500639914341
error,log,,,"Core exception while retrieving the content description",1500639914345
error,log,,,"Core exception while retrieving the content description",1500639914349
error,log,,,"Core exception while retrieving the content description",1500639914361
error,log,,,"Core exception while retrieving the content description",1500639914365
error,log,,,"Core exception while retrieving the content description",1500639914369
error,log,,,"Core exception while retrieving the content description",1500639914373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500639917885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639932807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639932863
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500639932909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1500639946678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500639958482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640024042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640026511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640027554
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640030411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500640032511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640035037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640089402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640092569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640095018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640107675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640109989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640110870
error,log,,,"Core exception while retrieving the content description",1500640113449
error,log,,,"Core exception while retrieving the content description",1500640113454
error,log,,,"Core exception while retrieving the content description",1500640113454
error,log,,,"Core exception while retrieving the content description",1500640113466
error,log,,,"Core exception while retrieving the content description",1500640113474
error,log,,,"Core exception while retrieving the content description",1500640113479
error,log,,,"Core exception while retrieving the content description",1500640113484
error,log,,,"Core exception while retrieving the content description",1500640113489
error,log,,,"Core exception while retrieving the content description",1500640113499
error,log,,,"Core exception while retrieving the content description",1500640113499
error,log,,,"Core exception while retrieving the content description",1500640113504
error,log,,,"Core exception while retrieving the content description",1500640113504
error,log,,,"Core exception while retrieving the content description",1500640113519
error,log,,,"Core exception while retrieving the content description",1500640113519
error,log,,,"Core exception while retrieving the content description",1500640113524
error,log,,,"Core exception while retrieving the content description",1500640113524
error,log,,,"Core exception while retrieving the content description",1500640113534
error,log,,,"Core exception while retrieving the content description",1500640113539
error,log,,,"Core exception while retrieving the content description",1500640113539
error,log,,,"Core exception while retrieving the content description",1500640113544
error,log,,,"Core exception while retrieving the content description",1500640113554
error,log,,,"Core exception while retrieving the content description",1500640113554
error,log,,,"Core exception while retrieving the content description",1500640113560
error,log,,,"Core exception while retrieving the content description",1500640113563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640115121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640116054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640116102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640117169
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640119070
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640119345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640125167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640412350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640420867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640446436
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640448689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500640452617
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640454714
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640454872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640474613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640474724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640474834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640476169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640476261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640478944
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640482508
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640487227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640498874
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1500640502098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640502154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640503045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640503473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640504410
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640511781
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640511964
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640513581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640513847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640527453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640527538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640552238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640569463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640572249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640573112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640573553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640574647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640584863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640587070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640589770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640589871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500640597351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640598132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640603978
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640606741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500640608249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640611280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640612091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640612576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640613191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640617444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640618014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640624376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640626411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640626528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640647238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640655930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640658667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640659392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640661083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500640662421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640666333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640666911
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1500640672236
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640673704
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500640673849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500640674234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640695676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500640704189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1500640707721
