what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549470225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549479490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549490756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549491812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549499881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549509806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549510993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549517769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549528560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549529787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549538178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549552528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549553692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549560119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549576951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549578089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549586691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549597870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549598843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549607855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549616816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549741537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500549750110
error,log,,,"Core exception while retrieving the content description",1500549750362
error,log,,,"Core exception while retrieving the content description",1500549750367
error,log,,,"Core exception while retrieving the content description",1500549750393
error,log,,,"Core exception while retrieving the content description",1500549750409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549753447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549759264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549761503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549791727
error,log,,,"Core exception while retrieving the content description",1500549797578
error,log,,,"Core exception while retrieving the content description",1500549797583
error,log,,,"Core exception while retrieving the content description",1500549797588
error,log,,,"Core exception while retrieving the content description",1500549797592
error,log,,,"Core exception while retrieving the content description",1500549797600
error,log,,,"Core exception while retrieving the content description",1500549797604
error,log,,,"Core exception while retrieving the content description",1500549797609
error,log,,,"Core exception while retrieving the content description",1500549797613
error,log,,,"Core exception while retrieving the content description",1500549797620
error,log,,,"Core exception while retrieving the content description",1500549797625
error,log,,,"Core exception while retrieving the content description",1500549797629
error,log,,,"Core exception while retrieving the content description",1500549797634
error,log,,,"Core exception while retrieving the content description",1500549797647
error,log,,,"Core exception while retrieving the content description",1500549797652
error,log,,,"Core exception while retrieving the content description",1500549797659
error,log,,,"Core exception while retrieving the content description",1500549797664
error,log,,,"Core exception while retrieving the content description",1500549797671
error,log,,,"Core exception while retrieving the content description",1500549797675
error,log,,,"Core exception while retrieving the content description",1500549797680
error,log,,,"Core exception while retrieving the content description",1500549797684
error,log,,,"Core exception while retrieving the content description",1500549797692
error,log,,,"Core exception while retrieving the content description",1500549797696
error,log,,,"Core exception while retrieving the content description",1500549797700
error,log,,,"Core exception while retrieving the content description",1500549797705
error,log,,,"Core exception while retrieving the content description",1500549802832
error,log,,,"Core exception while retrieving the content description",1500549802838
error,log,,,"Core exception while retrieving the content description",1500549803362
error,log,,,"Core exception while retrieving the content description",1500549803373
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1500549804237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549809006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549810136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549817936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549831516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549832511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549840956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549842932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549844456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549853870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549868722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549872043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549873172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549882153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549891898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549925893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500549939725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549940770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500549961379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500550004095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551423524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551431883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551466774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551474814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551501585
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500551516011
error,log,,,"Core exception while retrieving the content description",1500551517947
error,log,,,"Core exception while retrieving the content description",1500551517953
error,log,,,"Core exception while retrieving the content description",1500551517963
error,log,,,"Core exception while retrieving the content description",1500551517968
error,log,,,"Core exception while retrieving the content description",1500551517973
error,log,,,"Core exception while retrieving the content description",1500551517979
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1500551523176
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1500551523187
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1500551530733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551533941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551560148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551561278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500551642779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500551657764
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500551663009
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500551663472
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500551666288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500551668268
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500551672820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500551673413
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1500551677262
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1500551687901
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1500551687918
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1500551687950
