what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208584868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504208590718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504208593643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504208597664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208608458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208617702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208624170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208625466
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504208627764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504208629227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504208638971
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504208642952
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504208658300
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504208660799
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504208713349
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504208721823
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504208726652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208737148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208788214
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504208791070
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504208805109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208825311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504208843259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504208850391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504208851794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504208857975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504208861084
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504208870376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504209983473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504210506187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504210508134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504217881219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504217884078
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504217885376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504218162103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504250180702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504250186654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504432700993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504432702511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504432704500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504432711072
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1504432724385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504433595194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504433638408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435092496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504435131150
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504435142655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504435171003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435171320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435178083
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504435207570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435221302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435230954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504435253140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440249556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440250027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440253642
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504440258949
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504440259634
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504440259719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504440292010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504440296313
error,log,,,"Core exception while retrieving the content description",1504440304259
error,log,,,"Core exception while retrieving the content description",1504440304264
error,log,,,"Core exception while retrieving the content description",1504440304269
error,log,,,"Core exception while retrieving the content description",1504440304279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504440304329
error,log,,,"Core exception while retrieving the content description",1504440304594
error,log,,,"Core exception while retrieving the content description",1504440304602
error,log,,,"Core exception while retrieving the content description",1504440304610
error,log,,,"Core exception while retrieving the content description",1504440304614
error,log,,,"Core exception while retrieving the content description",1504440304614
error,log,,,"Core exception while retrieving the content description",1504440304619
error,log,,,"Core exception while retrieving the content description",1504440304624
error,log,,,"Core exception while retrieving the content description",1504440304635
error,log,,,"Core exception while retrieving the content description",1504440304639
error,log,,,"Core exception while retrieving the content description",1504440304644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440306256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440320943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504440328287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504440330562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440335027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440336189
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504440339605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504440382909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505055542278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505055552680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505055580291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505055626251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505060269447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505060311711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505136714423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505136715003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505136725534
