what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196763795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196778997
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1501196779414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501196787977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196788809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196812360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196825045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196868680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196883560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196890395
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501196894847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196917811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196924963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501196932943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197004877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197008524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197397923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501197407065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501197410525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197420892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197427416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501197436086
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1501197442249
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1501197443913
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1501197444899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197445383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197446802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197457413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197478916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197498524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197500859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501197502304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501198129185
error,log,,,"Core exception while retrieving the content description",1501198133557
error,log,,,"Core exception while retrieving the content description",1501198133573
error,log,,,"Core exception while retrieving the content description",1501198133573
error,log,,,"Core exception while retrieving the content description",1501198133573
