what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500649997401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500649998271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500649998403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650007896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650049430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650051663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650052364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650062312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650076452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650078731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650079515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500650081766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650082097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650082822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500650082953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650135169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650136934
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500650139896
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500650140202
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500650140349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650155104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650156115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500650161256
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500650162990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650183165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500650473819
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500650483662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500650483778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656505181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656516423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656519377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656520579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656521248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656522413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500656541743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658164284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658174111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658267315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658268615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658643652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500658644359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500659805219
