what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352808294
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1501352814633
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501352828457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352828822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352829716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501352830004
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501352838212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501352840576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352841750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352889995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352891003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352927633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501352935410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352936351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352972636
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501352974162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1501352976061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352976367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501352976635
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501352980122
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501352980205
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501352983499
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501352983528
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501352984771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501353055805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501353080887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501353090370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501355094542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501355094976
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501355099314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501355103822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501355104811
