what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504154538829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154539644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154693654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154696311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154697603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504154700571
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504154700847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504154701033
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504154703095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504154704144
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504154707633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154718624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154737555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154739618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154740574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504154743613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504154745111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154758576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154769951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154772924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154774088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504154778169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154796403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154860771
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504154869568
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504154872136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504154875028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504154916849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155347059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155371884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155375535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504155383071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155398640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155409649
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504155411841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155414934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155415796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155419604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155421204
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504155423403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504155425407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155426534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155451221
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504155456436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504155457764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155475909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155479041
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504155479053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155481047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155481146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155482522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155540218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155549405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155558915
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504155561035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155567732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155569055
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504155571968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504155573988
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504155590938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504155593247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504155596498
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504155602497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504155604958
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504155619274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155627062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155628193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155642547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155714015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155716072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155725418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155725854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504155765892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504155770196
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504155775662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504155776922
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1504155795934
