what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1500636222292
error,log,,,"Core exception while retrieving the content description",1500636222295
error,log,,,"Core exception while retrieving the content description",1500636222298
error,log,,,"Core exception while retrieving the content description",1500636222301
error,log,,,"Core exception while retrieving the content description",1500636222314
error,log,,,"Core exception while retrieving the content description",1500636222319
error,log,,,"Core exception while retrieving the content description",1500636222323
error,log,,,"Core exception while retrieving the content description",1500636222327
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500636223061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500636224713
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500636227325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636245250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636245361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636249219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636259401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636262007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636262877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636263212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636264349
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500636267471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1500636269513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500636279963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636296642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636578718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636579546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636961006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636962977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636963846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500636966515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636966811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636968011
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500636968169
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500636989514
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500636991531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500636991748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500636998934
