what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1505149414800
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1505149418004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1505149668956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505149707207
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505149708753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505149709347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1505149710613
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505149714488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149717425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149955786
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505149964292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149966808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149966902
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1505149968671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149972984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149982736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149995045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149995154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505149996279
