what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500891780011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500891783237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893846890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893848874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893850238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893851816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893852532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500893855400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893855570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893856054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500893856238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893868371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893873699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893875806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893876522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1500893878856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893879298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893879822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500893879969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500893883893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500902506562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500902510738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500902511651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500902511835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500903101294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500903106319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500903107175
error,log,,,"Core exception while retrieving the content description",1500903110148
